"date","pnl"
"2021-05-09",-96.6
"2021-05-10",96.5
"2021-05-11",96.5
"2021-05-12",96.5
"2021-05-13",96.5
"2021-05-14",96.5
"2021-05-15",96.5
"2021-05-16",-53.2
"2021-05-17",-57.9
"2021-05-18",-103.31
"2021-05-19",-86.54
"2021-05-20",-66.16
"2021-05-21",-84.4907
"2021-05-22",-84.4907
"2021-05-23",-84.4907
"2021-05-24",-84.4907
"2021-05-25",-73.2407
"2021-05-26",-80.83
"2021-05-27",-66.3607
"2021-05-28",-66.3607
"2021-05-29",-66.3607
"2021-05-30",-66.3607
"2021-05-31",-59.3607
"2021-06-01",-75.1107
"2021-06-02",-75.1107
"2021-06-03",-52.4207
